"Month","State.Postal.Code","cases"
"1",1,"AZ",6
"2",1,"CA",14
"3",1,"IL",10
"4",1,"WA",11
"5",2,"AZ",29
"6",2,"CA",285
"7",2,"IL",59
"8",2,"MA",29
"9",2,"NE",151
"10",2,"OR",2
"11",2,"TX",91
"12",2,"UT",5
"13",2,"WA",60
"14",2,"WI",25
"15",3,"AK",851
"16",3,"AL",6129
"17",3,"AR",3965
"18",3,"AZ",6830
"19",3,"CA",55406
"20",3,"CO",18603
"21",3,"CT",14606
"22",3,"DC",2923
"23",3,"DE",1887
"24",3,"FL",35597
"25",3,"GA",22119
"26",3,"HI",1474
"27",3,"IA",2794
"28",3,"ID",2359
"29",3,"IL",33167
"30",3,"IN",10152
"31",3,"KS",2408
"32",3,"KY",3398
"33",3,"LA",28913
"34",3,"MA",34418
"35",3,"MD",8831
"36",3,"ME",2110
"37",3,"MI",39225
"38",3,"MN",4480
"39",3,"MO",6536
"40",3,"MS",5791
"41",3,"MT",1200
"42",3,"NC",8617
"43",3,"ND",787
"44",3,"NE",1682
"45",3,"NH",2232
"46",3,"NJ",92534
"47",3,"NM",1989
"48",3,"NV",6859
"49",3,"NY",464981
"50",3,"OH",12114
"51",3,"OK",3069
"52",3,"OR",4621
"53",3,"PA",23859
"54",3,"RI",2570
"55",3,"SC",6329
"56",3,"SD",711
"57",3,"TN",12360
"58",3,"TX",20623
"59",3,"UT",5562
"60",3,"VA",6976
"61",3,"VT",1850
"62",3,"WA",46214
"63",3,"WI",9353
"64",3,"WV",866
"65",3,"WY",776
"66",4,"AK",8231
"67",4,"AL",125166
"68",4,"AR",53571
"69",4,"AZ",128668
"70",4,"CA",865585
"71",4,"CO",264026
"72",4,"CT",467204
"73",4,"DC",70950
"74",4,"DE",67480
"75",4,"FL",671158
"76",4,"GA",453331
"77",4,"HI",14988
"78",4,"IA",83724
"79",4,"ID",45937
"80",4,"IL",802337
"81",4,"IN",292473
"82",4,"KS",55555
"83",4,"KY",74780
"84",4,"LA",625639
"85",4,"MA",977699
"86",4,"MD",327492
"87",4,"ME",22358
"88",4,"MI",818293
"89",4,"MN",65270
"90",4,"MO",144460
"91",4,"MS",109721
"92",4,"MT",11538
"93",4,"NC",168317
"94",4,"ND",14825
"95",4,"NE",44916
"96",4,"NH",36795
"97",4,"NJ",2186635
"98",4,"NM",49429
"99",4,"NV",97660
"100",4,"NY",6328973
"101",4,"OH",287164
"102",4,"OK",67883
"103",4,"OR",50484
"104",4,"PA",822697
"105",4,"RI",119603
"106",4,"SC",113247
"107",4,"SD",36231
"108",4,"TN",187332
"109",4,"TX",494349
"110",4,"UT",82277
"111",4,"VA",223907
"112",4,"VT",21158
"113",4,"WA",327552
"114",4,"WI",119648
"115",4,"WV",21315
"116",4,"WY",10987
"117",5,"AK",12256
"118",5,"AL",372033
"119",5,"AR",150100
"120",5,"AZ",417110
"121",5,"CA",2476264
"122",5,"CO",660633
"123",5,"CT",1124193
"124",5,"DC",215106
"125",5,"DE",229386
"126",5,"FL",1396018
"127",5,"GA",1109472
"128",5,"HI",19430
"129",5,"IA",441186
"130",5,"ID",75057
"131",5,"IL",2822196
"132",5,"IN",857247
"133",5,"KS",241100
"134",5,"KY",234711
"135",5,"LA",1061231
"136",5,"MA",2582585
"137",5,"MD",1190664
"138",5,"ME",52158
"139",5,"MI",1558908
"140",5,"MN",469404
"141",5,"MO",334500
"142",5,"MS",344072
"143",5,"MT",14576
"144",5,"NC",573602
"145",5,"ND",57787
"146",5,"NE",305559
"147",5,"NH",109009
"148",5,"NJ",4470485
"149",5,"NM",177992
"150",5,"NV",213197
"151",5,"NY",10850463
"152",5,"OH",847509
"153",5,"OK",160500
"154",5,"OR",108485
"155",5,"PA",1994490
"156",5,"RI",381262
"157",5,"SC",269994
"158",5,"SD",118915
"159",5,"TN",536423
"160",5,"TX",1463433
"161",5,"UT",221484
"162",5,"VA",925411
"163",5,"VT",29029
"164",5,"WA",594493
"165",5,"WI",391353
"166",5,"WV",47442
"167",5,"WY",22780
"168",6,"AK",23003
"169",6,"AL",800287
"170",6,"AR",402154
"171",6,"AZ",1297231
"172",6,"CA",4905111
"173",6,"CO",886415
"174",6,"CT",1348657
"175",6,"DC",291828
"176",6,"DE",312601
"177",6,"FL",2637626
"178",6,"GA",1734682
"179",6,"HI",22303
"180",6,"IA",731691
"181",6,"ID",116842
"182",6,"IL",4025869
"183",6,"IN",1241303
"184",6,"KS",355114
"185",6,"KY",389689
"186",6,"LA",1436753
"187",6,"MA",3164865
"188",6,"MD",1867000
"189",6,"ME",84057
"190",6,"MI",1981377
"191",6,"MN",925287
"192",6,"MO",517729
"193",6,"MS",614642
"194",6,"MT",19781
"195",6,"NC",1381996
"196",6,"ND",93310
"197",6,"NE",508068
"198",6,"NH",159771
"199",6,"NJ",5021309
"200",6,"NM",298314
"201",6,"NV",365782
"202",6,"NY",11656829
"203",6,"OH",1279993
"204",6,"OK",277672
"205",6,"OR",184416
"206",6,"PA",2516170
"207",6,"RI",481310
"208",6,"SC",636483
"209",6,"SD",177958
"210",6,"TN",956724
"211",6,"TX",3090759
"212",6,"UT",464269
"213",6,"VA",1644315
"214",6,"VT",33551
"215",6,"WA",845988
"216",6,"WI",761387
"217",6,"WV",71793
"218",6,"WY",33714
"219",7,"AK",67633
"220",7,"AL",1918336
"221",7,"AR",972426
"222",7,"AZ",4105142
"223",7,"CA",11404982
"224",7,"CO",1215655
"225",7,"CT",1483675
"226",7,"DC",345436
"227",7,"DE",410198
"228",7,"FL",9746638
"229",7,"GA",3794129
"230",7,"HI",41333
"231",7,"IA",1152156
"232",7,"ID",412314
"233",7,"IL",4987937
"234",7,"IN",1745006
"235",7,"KS",663964
"236",7,"KY",694134
"237",7,"LA",2696554
"238",7,"MA",3498717
"239",7,"MD",2391813
"240",7,"ME",112034
"241",7,"MI",2483179
"242",7,"MN",1388670
"243",7,"MO",1053767
"244",7,"MS",1279092
"245",7,"MT",71052
"246",7,"NC",2908111
"247",7,"ND",149692
"248",7,"NE",691529
"249",7,"NH",190987
"250",7,"NJ",5527830
"251",7,"NM",504146
"252",7,"NV",1014765
"253",7,"NY",12690287
"254",7,"OH",2204116
"255",7,"OK",738132
"256",7,"OR",421377
"257",7,"PA",3210520
"258",7,"RI",549884
"259",7,"SC",1978230
"260",7,"SD",240095
"261",7,"TN",2204796
"262",7,"TX",9496585
"263",7,"UT",988673
"264",7,"VA",2330822
"265",7,"VT",41004
"266",7,"WA",1439072
"267",7,"WI",1357567
"268",7,"WV",145677
"269",7,"WY",63980
"270",8,"AK",154871
"271",8,"AL",3355858
"272",8,"AR",1633930
"273",8,"AZ",5951480
"274",8,"CA",19168704
"275",8,"CO",1642292
"276",8,"CT",1585462
"277",8,"DC",407849
"278",8,"DE",503506
"279",8,"FL",17469880
"280",8,"GA",6755964
"281",8,"HI",156872
"282",8,"IA",1651099
"283",8,"ID",848552
"284",8,"IL",6477545
"285",8,"IN",2546792
"286",8,"KS",1086757
"287",8,"KY",1272814
"288",8,"LA",4228513
"289",8,"MA",3824563
"290",8,"MD",3103859
"291",8,"ME",129919
"292",8,"MI",3165462
"293",8,"MN",2020252
"294",8,"MO",2121856
"295",8,"MS",2235453
"296",8,"MT",177325
"297",8,"NC",4509937
"298",8,"ND",273194
"299",8,"NE",939396
"300",8,"NH",215935
"301",8,"NJ",5859177
"302",8,"NM",721859
"303",8,"NV",1877885
"304",8,"NY",13329072
"305",8,"OH",3343527
"306",8,"OK",1492560
"307",8,"OR",713551
"308",8,"PA",3985340
"309",8,"RI",635058
"310",8,"SC",3278566
"311",8,"SD",326993
"312",8,"TN",4014961
"313",8,"TX",17220155
"314",8,"UT",1445189
"315",8,"VA",3291471
"316",8,"VT",46881
"317",8,"WA",2150641
"318",8,"WI",2165905
"319",8,"WV",262522
"320",8,"WY",102356
"321",9,"AK",220233
"322",9,"AL",4227298
"323",9,"AR",2173272
"324",9,"AZ",6320568
"325",9,"CA",23157862
"326",9,"CO",1909117
"327",9,"CT",1651324
"328",9,"DC",441301
"329",9,"DE",572135
"330",9,"FL",20108236
"331",9,"GA",8427889
"332",9,"HI",327696
"333",9,"IA",2312934
"334",9,"ID",1106607
"335",9,"IL",8067391
"336",9,"IN",3290139
"337",9,"KS",1554737
"338",9,"KY",1873371
"339",9,"LA",4777934
"340",9,"MA",3785693
"341",9,"MD",3532754
"342",9,"ME",148402
"343",9,"MI",3764054
"344",9,"MN",2608776
"345",9,"MO",3260351
"346",9,"MS",2734173
"347",9,"MT",294470
"348",9,"NC",5679982
"349",9,"ND",496720
"350",9,"NE",1186725
"351",9,"NH",233082
"352",9,"NJ",5995211
"353",9,"NM",815678
"354",9,"NV",2237427
"355",9,"NY",13535662
"356",9,"OH",4190398
"357",9,"OK",2178612
"358",9,"OR",900076
"359",9,"PA",4544303
"360",9,"RI",698781
"361",9,"SC",4017202
"362",9,"SD",529111
"363",9,"TN",5211831
"364",9,"TX",21291250
"365",9,"UT",1830446
"366",9,"VA",4069810
"367",9,"VT",50777
"368",9,"WA",2537498
"369",9,"WI",3030848
"370",9,"WV",394496
"371",9,"WY",140056
"372",10,"AK",367261
"373",10,"AL",5332670
"374",10,"AR",3025302
"375",10,"AZ",7142027
"376",10,"CA",27164081
"377",10,"CO",2651624
"378",10,"CT",1961272
"379",10,"DC",503658
"380",10,"DE",706558
"381",10,"FL",23278677
"382",10,"GA",10651435
"383",10,"HI",433606
"384",10,"IA",3291856
"385",10,"ID",1634407
"386",10,"IL",10729137
"387",10,"IN",4586771
"388",10,"KS",2245140
"389",10,"KY",2751940
"390",10,"LA",5504935
"391",10,"MA",4449113
"392",10,"MD",4187127
"393",10,"ME",183375
"394",10,"MI",4999083
"395",10,"MN",3740804
"396",10,"MO",4918497
"397",10,"MS",3374666
"398",10,"MT",685645
"399",10,"NC",7503763
"400",10,"ND",969332
"401",10,"NE",1762828
"402",10,"NH",296949
"403",10,"NJ",6855288
"404",10,"NM",1131556
"405",10,"NV",2776684
"406",10,"NY",15087402
"407",10,"OH",5591170
"408",10,"OK",3264217
"409",10,"OR",1208025
"410",10,"PA",5751331
"411",10,"RI",871329
"412",10,"SC",5027463
"413",10,"SD",1007707
"414",10,"TN",6915907
"415",10,"TX",26765048
"416",10,"UT",2871556
"417",10,"VA",5085677
"418",10,"VT",60075
"419",10,"WA",3148094
"420",10,"WI",5505967
"421",10,"WV",609037
"422",10,"WY",279238
"423",11,"AK",721036
"424",11,"AL",6584507
"425",11,"AR",4031431
"426",11,"AZ",8449500
"427",11,"CA",31809852
"428",11,"CO",5058076
"429",11,"CT",2784189
"430",11,"DC",575533
"431",11,"DE",883967
"432",11,"FL",26828632
"433",11,"GA",12393149
"434",11,"HI",500379
"435",11,"IA",5542766
"436",11,"ID",2510599
"437",11,"IL",17351219
"438",11,"IN",7754614
"439",11,"KS",3684696
"440",11,"KY",4313753
"441",11,"LA",6223001
"442",11,"MA",5713002
"443",11,"MD",5084196
"444",11,"ME",274062
"445",11,"MI",8611257
"446",11,"MN",6851262
"447",11,"MO",7593756
"448",11,"MS",4059206
"449",11,"MT",1437310
"450",11,"NC",9508648
"451",11,"ND",1905017
"452",11,"NE",3011117
"453",11,"NH",458040
"454",11,"NJ",8546314
"455",11,"NM",2072561
"456",11,"NV",3718323
"457",11,"NY",17164028
"458",11,"OH",9233817
"459",11,"OK",4710466
"460",11,"OR",1751804
"461",11,"PA",8392893
"462",11,"RI",1314015
"463",11,"SC",5897776
"464",11,"SD",1938994
"465",11,"TN",9231001
"466",11,"TX",33104736
"467",11,"UT",4662973
"468",11,"VA",6195771
"469",11,"VT",91482
"470",11,"WA",4172887
"471",11,"WI",9932235
"472",11,"WV",1046960
"473",11,"WY",698301
"474",12,"AK",1278752
"475",12,"AL",9513716
"476",12,"AR",5960217
"477",12,"AZ",13328487
"478",12,"CA",53961030
"479",12,"CO",9135593
"480",12,"CT",4793649
"481",12,"DC",790037
"482",12,"DE",1466659
"483",12,"FL",35950671
"484",12,"GA",16888026
"485",12,"HI",611372
"486",12,"IA",8057514
"487",12,"ID",3855984
"488",12,"IL",26821457
"489",12,"IN",13622860
"490",12,"KS",6058556
"491",12,"KY",7192976
"492",12,"LA",8533266
"493",12,"MA",9388617
"494",12,"MD",7457248
"495",12,"ME",542935
"496",12,"MI",14692014
"497",12,"MN",11794182
"498",12,"MO",11517880
"499",12,"MS",5744183
"500",12,"MT",2294485
"501",12,"NC",14063411
"502",12,"ND",2721037
"503",12,"NE",4706456
"504",12,"NH",1021905
"505",12,"NJ",12848523
"506",12,"NM",3813148
"507",12,"NV",5978140
"508",12,"NY",25200181
"509",12,"OH",17895416
"510",12,"OK",7619429
"511",12,"OR",3000761
"512",12,"PA",16063356
"513",12,"RI",2303209
"514",12,"SC",8095910
"515",12,"SD",2843018
"516",12,"TN",14564881
"517",12,"TX",47212101
"518",12,"UT",7429166
"519",12,"VA",9076350
"520",12,"VT",185248
"521",12,"WA",6674793
"522",12,"WI",14724521
"523",12,"WV",2081323
"524",12,"WY",1239260
